0,1,2
4771,1,sql
4771,1,sql_data
4771,1,it_skills
4771,1,ssrs_report_writer
4771,1,data_management
2531,0,Senior Data Test Engineer
2531,1,bi_testing
2531,1,data_warehouse_testing
2531,1,automation_testing
2531,1,agile
2531,1,powershell
2531,1,data_profiling
2531,1,microsoft_excel
2531,1,tableau
7111,0,Big Data Developer
7111,1,hadoop
7111,1,big_data
7111,1,communication
7111,1,kafka
7111,1,spark
7111,1,python
7111,1,written
7111,1,sqoop
4880,0,Hiring For Data Engineer with leading Shipping company
4880,1,s3
4880,1,panda
4880,1,boto3
4880,1,django
4880,1,tableau
4880,1,numpy
4880,1,flask
4880,1,aws
4731,0,Analyst - Operation - Algorithm & Investment Management - Data Center
4731,1,it_skills
4731,1,testing
4731,1,project_management
4731,1,bpo
4731,1,project_management
4731,1,capacity_planning
4731,1,linux
4731,1,disaster_recovery
401,0,Digital - Associate Program Manager - Data Scientist APGM
401,1,r
401,1,tableau
401,1,python
401,1,it_skills
401,1,data_science
401,1,project_management
401,1,bpo
401,1,project_management
2390,0,Senior Data Analyst - Workforce Management Planning
2390,1,analyst
2390,1,data_analysis
2390,1,workforce_management
2390,1,staffing
2390,1,process_improvement
2390,1,manager_technology
2390,1,scheduling
2390,1,data_analyst
1631,0,Senior Data Analysts
1631,1,technical_product_configuration
1631,1,c++
1631,1,c
1631,1,design
1631,1,mysql
1631,1,javascript
1631,1,integration_php
1631,1,html
4205,0,Business Analyst Career Big Data Analysis
4205,1,it_skills
4205,1,software_development
4205,1,testing
4205,1,big_data
4205,1,copyright
4205,1,data_analysis
4205,1,change_management
4205,1,business_analyst
9829,0,Analytics & Insight Analyst : CSA
9829,1,outbound
9829,1,san
9829,1,excel
9829,1,analytical
9829,1,customer_support
9829,1,data_quality
9829,1,business_intelligence
9829,1,continuous_improvement
5912,0,Data Engineer
5912,1,data_engineer
5912,1,it_skills
5912,1,python
5912,1,testing
5912,1,data_science
5912,1,cloud
5912,1,azure
5912,1,hive
4561,0,Data Engineer
4561,1,unix
4561,1,c++
4561,1,testing_tools
4561,1,coding
4561,1,cms
4561,1,data_structures
4561,1,perl
4561,1,windows
10683,0,Apache Kafka
10683,1,cdc_ingestion
10683,1,apache_kafka
10683,1,dataflow
10683,1,git
10683,1,kafka
10683,1,cdc
10683,1,written
10683,1,verbal
3842,0,Senior Data Engineer
3842,1,python
3842,1,spark
3842,1,snowflake_/_redshift
3842,1,snowflake
3842,1,java
3842,1,software_development
3842,1,data_modeling
3842,1,redshift_aws
4797,0,Big Data Developer
4797,1,c++
4797,1,coding
4797,1,analytical
4797,1,diversity_and_inclusion
4797,1,hadoop
4797,1,agile_methodology
4797,1,business_intelligence
4797,1,big_data
3458,0,Senior Technical Lead (Data Engineer)
3458,1,it_skills
3458,1,java
3458,1,python
3458,1,testing
3458,1,cloud
3458,1,devops
3458,1,performance_testing
